sta_id,network,station,latitude,longitude,elevation,starttime,endtime,site_name
TX.YK01,TX,YK01,33.110552,-103.008071,1150.0,2024-02-27 18:35:05.000,,"NW of Denver City, TX"
TX.MB04,TX,MB04,32.62542,-102.48802,956.0,2024-02-27 21:06:33.000,,Seminole
TX.MB14,TX,MB14,32.209722,-101.618194,814.0,2024-02-27 23:08:21.000,,CrownQuest
TX.DRIO,TX,DRIO,29.42311,-100.61888,354.0,2024-03-05 17:48:14.000,,Del Rio
TX.PB54,TX,PB54,31.894457,-103.416746,940.0,2024-03-07 00:00:00.000,,D.K.Boyd
TX.PB56,TX,PB56,31.8032778,-103.8703449,867.0,2024-03-20 14:00:00.000,,BPX Cardinal SWD
TX.PB55,TX,PB55,31.8028225,-103.9381042,913.0,2024-03-20 14:00:00.000,,BPX Bishop SWD
TX.PB57,TX,PB57,31.7692277,-103.965278,919.0,2024-03-20 14:00:00.000,,BPX B57T2S45
TX.PB58,TX,PB58,31.699787,-103.932653,895.0,2024-04-04 18:01:44.000,,BPX B57T3S26 on GLO
TX.MNHN,TX,MNHN,31.34023,-102.76141,750.0,2024-04-10 22:57:36.000,,Monahans
TX.EF08,TX,EF08,28.884991,-99.110482,182.0,2024-04-17 11:00:00.000,,Pearsall
TX.EF06,TX,EF06,28.75082,-99.865593,186.0,2024-04-18 21:46:16.000,,Crystal City
TX.PB59,TX,PB59,31.889954,-104.81204,1705.0,2024-04-25 12:00:00.000,,Pine Springs TxDot
TX.SN08,TX,SN08,32.782579,-101.060724,758.0,2024-05-02 14:33:54.000,,Arah
TX.HNDO,TX,HNDO,29.5288,-99.28081,381.0,2024-06-05 15:58:23.000,,Hondo
TX.MB21,TX,MB21,32.343507,-101.727966,788.0,2024-06-06 20:23:18.000,,Endeavor
TX.SN10,TX,SN10,33.04918,-100.72388,658.0,2024-06-07 20:55:00.000,,Rotan
TX.MB15,TX,MB15,32.393918,-102.165848,855.0,2024-06-12 23:37:51.000,,"UL Block 19, Section 6"
TX.ET02,TX,ET02,31.587117,-94.108269,143.0,2024-07-11 12:00:00.000,,Atheon
TX.EF07,TX,EF07,28.983735,-98.017968,95.0,2024-09-06 08:00:00.000,,"Falls City, TX"
TX.EF09,TX,EF09,27.887311,-98.601123,156.0,2024-09-13 16:00:00.000,,City of Freer
TX.MB07,TX,MB07,32.00061,-102.25277,880.0,2024-09-26 20:19:44.000,,West Midland
TX.MB09,TX,MB09,32.3391,-101.82,798.5,2024-05-07 20:00:01.000,,Lenorah
TX.SMWD,TX,SMWD,35.10455,-100.24248,704.0,2024-10-31 14:34:25.000,,Samnorwood
TX.PB41,TX,PB41,31.284782,-103.009892,783.0,2024-12-06 13:00:00.000,,Continental Resources
TX.PB42,TX,PB42,31.764578,-103.640224,830.0,2024-04-04 20:32:26.000,,P&M Jones Ranch
TX.DFG03,TX,DFG03,32.848849,-96.898925,124.0,2025-01-23 19:01:03.000,,BEG
TX.DFG04,TX,DFG04,32.831061,-96.921362,125.0,2025-01-23 21:55:00.000,,BEG
TX.DFG07,TX,DFG07,32.576212,-97.203503,198.0,2025-01-24 16:35:00.000,,BEG
TX.DFG06,TX,DFG06,32.461957,-97.155079,197.0,2025-01-24 17:46:00.000,,BEG
TX.DFG05,TX,DFG05,32.432535,-97.103151,193.0,2025-01-24 21:00:00.000,,BEG
