resource_id,time,seed_id,filter_id,method_id,horizontal_slowness,backazimuth,onset,phase_hint,polarity,evaluation_mode,event_time,evaluation_status,creation_time,author,agency_id,event_id,network,station,location,channel,uncertainty,lower_uncertainty,upper_uncertainty,confidence_level
smi:local/4bee0a41-3f1f-463b-a272-1f27b4ce4b1d,2023-06-10 04:43:57.472800,GCI.KKFLS..150,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,150,,,,
smi:local/b9358a0d-710d-42e9-9648-f61a4999f8c7,2023-06-10 04:43:56.672800,GCI.KKFLS..152,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,152,,,,
smi:local/d5ca1a35-78c1-4c4a-b28a-06ac27bce5a8,2023-06-10 04:43:57.152800,GCI.KKFLS..156,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,156,,,,
smi:local/84b8fa53-69bb-4197-b4aa-e578d893d675,2023-06-10 04:43:57.152800,GCI.KKFLS..157,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,157,,,,
smi:local/cc45d831-7a8e-4876-8b13-5d9203a17bc2,2023-06-10 04:43:57.772800,GCI.KKFLS..158,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,158,,,,
smi:local/944de543-fc91-498f-8d32-02696cfcd9c6,2023-06-10 04:43:57.192800,GCI.KKFLS..160,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,160,,,,
smi:local/9c3fad00-a86e-4837-8ede-e494036c9405,2023-06-10 04:43:57.312800,GCI.KKFLS..161,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,161,,,,
smi:local/6d7049be-2f67-46ae-8c63-ccb2ea921ab7,2023-06-10 04:43:57.132800,GCI.KKFLS..162,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,162,,,,
smi:local/2f438301-f69a-460a-9380-e7d82bd088bb,2023-06-10 04:43:56.992800,GCI.KKFLS..163,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,163,,,,
smi:local/ffaa9ba7-8fed-449d-9094-432fc852190c,2023-06-10 04:43:57.152800,GCI.KKFLS..164,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,164,,,,
smi:local/36b50b56-b779-470f-bfae-dccb49b7a7d1,2023-06-10 04:43:56.992800,GCI.KKFLS..165,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,165,,,,
smi:local/fa7caf61-ffad-44e8-98b5-08b0bce14d3b,2023-06-10 04:43:57.152800,GCI.KKFLS..166,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,166,,,,
smi:local/55750a4f-aada-47b5-ac9e-866da0f5270b,2023-06-10 04:43:56.692800,GCI.KKFLS..167,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,167,,,,
